degrau,algoritmo,iteracao,tempo,memoria_pico_b
10,escada_dinamica,1,0.000053,216.00
10,escada_dinamica,2,0.000043,216.00
10,escada_dinamica,3,0.000043,216.00
10,escada_dinamica,4,0.000043,216.00
10,escada_dinamica,5,0.000040,216.00
10,escada_dinamica,6,0.000042,216.00
10,escada_dinamica,7,0.000040,216.00
10,escada_dinamica,8,0.000040,216.00
10,escada_dinamica,9,0.000040,216.00
10,escada_dinamica,10,0.000039,216.00
10,escada_dinamica,11,0.000039,216.00
10,escada_dinamica,12,0.000041,216.00
10,escada_dinamica,13,0.000040,216.00
10,escada_dinamica,14,0.000041,216.00
10,escada_dinamica,15,0.000040,216.00
10,escada_dinamica,16,0.000063,216.00
10,escada_dinamica,17,0.000040,216.00
10,escada_dinamica,18,0.000043,216.00
10,escada_dinamica,19,0.000039,216.00
10,escada_dinamica,20,0.000041,216.00
10,escada_dinamica,21,0.000041,216.00
10,escada_dinamica,22,0.000043,216.00
10,escada_dinamica,23,0.000044,216.00
10,escada_dinamica,24,0.000042,216.00
10,escada_dinamica,25,0.000041,216.00
10,escada_dinamica,26,0.000042,216.00
10,escada_dinamica,27,0.000058,216.00
10,escada_dinamica,28,0.000039,216.00
10,escada_dinamica,29,0.000041,216.00
10,escada_dinamica,30,0.000042,216.00
10,escada_recursiva,1,0.000021,0.00
10,escada_recursiva,2,0.000019,0.00
10,escada_recursiva,3,0.000019,0.00
10,escada_recursiva,4,0.000019,0.00
10,escada_recursiva,5,0.000018,0.00
10,escada_recursiva,6,0.000019,0.00
10,escada_recursiva,7,0.000019,0.00
10,escada_recursiva,8,0.000019,0.00
10,escada_recursiva,9,0.000019,0.00
10,escada_recursiva,10,0.000019,0.00
10,escada_recursiva,11,0.000019,0.00
10,escada_recursiva,12,0.000019,0.00
10,escada_recursiva,13,0.000019,0.00
10,escada_recursiva,14,0.000019,0.00
10,escada_recursiva,15,0.000019,0.00
10,escada_recursiva,16,0.000020,0.00
10,escada_recursiva,17,0.000019,0.00
10,escada_recursiva,18,0.000019,0.00
10,escada_recursiva,19,0.000018,0.00
10,escada_recursiva,20,0.000019,0.00
10,escada_recursiva,21,0.000019,0.00
10,escada_recursiva,22,0.000019,0.00
10,escada_recursiva,23,0.000019,0.00
10,escada_recursiva,24,0.000019,0.00
10,escada_recursiva,25,0.000020,0.00
10,escada_recursiva,26,0.000019,0.00
10,escada_recursiva,27,0.000033,0.00
10,escada_recursiva,28,0.000018,0.00
10,escada_recursiva,29,0.000019,0.00
10,escada_recursiva,30,0.000019,0.00
40,escada_dinamica,1,0.000230,1352.00
40,escada_dinamica,2,0.000223,1352.00
40,escada_dinamica,3,0.000251,1352.00
40,escada_dinamica,4,0.000226,1352.00
40,escada_dinamica,5,0.000224,1352.00
40,escada_dinamica,6,0.000237,1352.00
40,escada_dinamica,7,0.000242,1352.00
40,escada_dinamica,8,0.000232,1352.00
40,escada_dinamica,9,0.000218,1352.00
40,escada_dinamica,10,0.000276,1352.00
40,escada_dinamica,11,0.000229,1352.00
40,escada_dinamica,12,0.000231,1352.00
40,escada_dinamica,13,0.000227,1352.00
40,escada_dinamica,14,0.000252,1352.00
40,escada_dinamica,15,0.000237,1352.00
40,escada_dinamica,16,0.000232,1352.00
40,escada_dinamica,17,0.000247,1352.00
40,escada_dinamica,18,0.000234,1352.00
40,escada_dinamica,19,0.000233,1352.00
40,escada_dinamica,20,0.000238,1352.00
40,escada_dinamica,21,0.000228,1352.00
40,escada_dinamica,22,0.000224,1352.00
40,escada_dinamica,23,0.000220,1352.00
40,escada_dinamica,24,0.000240,1352.00
40,escada_dinamica,25,0.000226,1352.00
40,escada_dinamica,26,0.000233,1352.00
40,escada_dinamica,27,0.000229,1352.00
40,escada_dinamica,28,0.000229,1352.00
40,escada_dinamica,29,0.000225,1352.00
40,escada_dinamica,30,0.000222,1352.00
40,escada_recursiva,1,19.191072,480.00
40,escada_recursiva,2,17.414494,480.00
40,escada_recursiva,3,17.616945,480.00
40,escada_recursiva,4,17.380018,480.00
40,escada_recursiva,5,17.514531,480.00
40,escada_recursiva,6,17.530770,480.00
40,escada_recursiva,7,17.447183,480.00
40,escada_recursiva,8,17.452195,480.00
40,escada_recursiva,9,17.477641,480.00
40,escada_recursiva,10,17.523074,480.00
40,escada_recursiva,11,17.637542,480.00
40,escada_recursiva,12,17.301663,480.00
40,escada_recursiva,13,17.301401,480.00
40,escada_recursiva,14,17.306581,480.00
40,escada_recursiva,15,17.704401,480.00
40,escada_recursiva,16,17.810480,480.00
40,escada_recursiva,17,17.615245,480.00
40,escada_recursiva,18,17.718714,480.00
40,escada_recursiva,19,17.595905,480.00
40,escada_recursiva,20,17.443600,480.00
40,escada_recursiva,21,17.457866,480.00
40,escada_recursiva,22,17.673238,480.00
40,escada_recursiva,23,17.474889,480.00
40,escada_recursiva,24,17.566058,480.00
40,escada_recursiva,25,17.824767,480.00
40,escada_recursiva,26,17.757297,480.00
40,escada_recursiva,27,17.707620,480.00
40,escada_recursiva,28,17.646156,480.00
40,escada_recursiva,29,17.452667,480.00
40,escada_recursiva,30,17.216741,480.00
